component,midx,N_fail,DT_total,DT_Cost_total,Scheduled,Operating,MTBF,Availability,Downtime_Rate,dt_cost_log
Body/Cabin,1,25,199.67,2660095.86,744.0,544.33,21.773200000000003,0.7316263440860216,0.2683736559139785,14.79387309362876
Body/Cabin,2,14,141.21,352412.43,672.0,530.79,37.91357142857142,0.7898660714285713,0.2101339285714286,12.772560282420146
Body/Cabin,3,5,75.7,16049.35,744.0,668.3,133.66,0.898252688172043,0.10174731182795699,9.683485935173978
Body/Cabin,4,3,42.07,9306.769999999999,720.0,677.93,225.97666666666666,0.9415694444444443,0.058430555555555555,9.138604814189943
Body/Cabin,5,9,150.94,42955.2,744.0,593.06,65.89555555555555,0.7971236559139784,0.2028763440860215,10.667936270894263
Body/Cabin,6,7,144.79,8785.84,720.0,575.21,82.17285714285715,0.7989027777777779,0.2010972222222222,9.08101042661264
Body/Cabin,7,7,118.55,8785.84,744.0,625.45,89.35000000000001,0.8406586021505377,0.15934139784946236,9.08101042661264
Body/Cabin,8,19,387.94,23847.28,744.0,356.06,18.74,0.4785752688172043,0.5214247311827956,10.079467376315483
Brake,1,25,410.68,2141672.88,744.0,333.32,13.332799999999999,0.44801075268817203,0.551989247311828,14.57709826816516
Brake,2,26,268.68,379753.14,672.0,403.32,15.512307692307692,0.6001785714285715,0.3998214285714286,12.847279322307745
Brake,3,36,520.03,453668.26,744.0,223.97000000000003,6.22138888888889,0.3010349462365592,0.6989650537634409,13.025123709334165
Brake,4,15,265.66,193345.37000000002,720.0,454.34,30.28933333333333,0.6310277777777777,0.36897222222222226,12.172238522615606
Brake,5,28,439.83,65142.85999999999,744.0,304.17,10.863214285714287,0.40883064516129036,0.5911693548387097,11.084353334059553
Brake,6,20,340.21,25102.399999999998,720.0,379.79,18.9895,0.5274861111111111,0.47251388888888884,10.130758574113576
Brake,7,20,313.9,25102.399999999998,744.0,430.1,21.505000000000003,0.5780913978494624,0.4219086021505376,10.130758574113576
Brake,8,22,448.15,27612.64,744.0,295.85,13.447727272727274,0.39764784946236564,0.6023521505376344,10.22606513252576
Driveline/Trans,1,35,205.85999999999999,4166071.7399999998,744.0,538.14,15.375428571428571,0.7233064516129032,0.27669354838709675,15.242484361044287
Driveline/Trans,2,8,114.42,660259.6699999999,672.0,557.58,69.6975,0.8297321428571429,0.17026785714285714,13.400389990574046
